로우데이터 식별자,수집 출처,카테고리,외부 상품 식별자,상품 이미지 URL,상품 상세 URL,상품명,판매 몰 이름,판매가,할인율(%),임의 정가,수집 시각,색깔데이터 식별자,원본 색상명,클라이언트 반환용 색상명,브랜드,기본 배송비,무료 배송 조건
439,soozip,MINI_ELECTRONICS,323,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250331/880ede9edf91d0a8dec44d28c6bcd0b3.jpg,https://soozip.co.kr/product/휴빅-올스텐-대용량-전기포트-17l/323/category/73/display/1/,휴빅 올스텐 대용량 전기포트 1.7L,SOOZIP,35600.0,29,501409,2026-01-27 18:45:46.654229,11,화이트,,홈리아,3000,50000.0
439,soozip,MINI_ELECTRONICS,323,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250331/880ede9edf91d0a8dec44d28c6bcd0b3.jpg,https://soozip.co.kr/product/휴빅-올스텐-대용량-전기포트-17l/323/category/73/display/1/,휴빅 올스텐 대용량 전기포트 1.7L,SOOZIP,35600.0,29,501409,2026-01-27 18:45:46.654229,11,블랙,,홈리아,3000,50000.0
440,soozip,MINI_ELECTRONICS,321,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250331/602b1c10eff3964f3736ad8ef69b92e9.jpg,https://soozip.co.kr/product/홈리아-330w-bldc-무선-진공-청소기-더스트제로/321/category/73/display/1/,홈리아 330W BLDC 무선 진공 청소기 더스트제로,SOOZIP,109800.0,22,1407693,2026-01-27 18:45:46.654229,12,,,홈리아,3000,50000.0
441,soozip,MINI_ELECTRONICS,95,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250227/6719a937787608606a0f5bb889167e6c.jpg,https://soozip.co.kr/product/티메코-20w-고속충전-5구-멀티탭-큐브-디자인-4000w-고용량-c타입-usb-4포트/95/category/73/display/1/,티메코 20W 고속충전 5구 멀티탭 큐브 디자인 4000W 고용량 C타입 USB 4포트,SOOZIP,35900.0,6,381915,2026-01-27 18:45:46.654229,13,,,케이하이,0,
442,soozip,MINI_ELECTRONICS,94,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250410/77b770b8b665e7bda957fa9518fa499d.jpg,https://soozip.co.kr/product/detail.html?product_no=94&cate_no=73&display_group=1,티메코 SF코팅 큐브 디자인 멀티탭 고용량 USB C타입 케이블형 1.8m,SOOZIP,29800.0,0,298000,2026-01-27 18:45:46.654229,14,,,케이하이,0,
443,soozip,MINI_ELECTRONICS,93,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250227/6bd2fb4bde4bdb22adc690966941dd9a.jpg,https://soozip.co.kr/product/티메코-sf코팅-큐브-디자인-멀티탭-고용량-usb-c타입-포트-멀티-콘센트/93/category/73/display/1/,티메코 SF코팅 큐브 디자인 멀티탭 고용량 USB C타입 포트 멀티 콘센트,SOOZIP,22800.0,0,228000,2026-01-27 18:45:46.654229,15,,,케이하이,0,
444,soozip,MINI_ELECTRONICS,68,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250221/15db88853f2fa4fa5290f480ea898749.png,https://soozip.co.kr/product/미닉스-미니건조기-35kg-pro/68/category/73/display/1/,미닉스 미니건조기 3.5kg PRO+,SOOZIP,339000.0,58,8071429,2026-01-27 18:45:46.654229,16,Pro+ 그레이지,,자니즈,0,
444,soozip,MINI_ELECTRONICS,68,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250221/15db88853f2fa4fa5290f480ea898749.png,https://soozip.co.kr/product/미닉스-미니건조기-35kg-pro/68/category/73/display/1/,미닉스 미니건조기 3.5kg PRO+,SOOZIP,339000.0,58,8071429,2026-01-27 18:45:46.654229,16,Pro+ 네이처그린,,자니즈,0,
445,soozip,MINI_ELECTRONICS,30,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251230/0bbe859cd798f45e6390ed0dd1a44c13.png,https://soozip.co.kr/product/모노-1구-인덕션/30/category/73/display/1/,모노 1구 인덕션,SOOZIP,49900.0,27,683562,2026-01-27 18:45:46.654229,17,,,자니즈,0,
446,soozip,MINI_ELECTRONICS,13,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251230/11f26a365f13f703e9c0fd609d543786.png,https://soozip.co.kr/product/모노-미니-밥솥-3인용/13/category/73/display/1/,모노 미니 밥솥 3인용,SOOZIP,44900.0,50,898000,2026-01-27 18:45:46.654229,18,,,자니즈,0,
