id,fetched_at,product_id,product_image_url,product_mall_name,product_name,product_site_url,source,category,discount_price,discount_rate,list_price,base_shipping_fee,brand,free_shipping_condition,furniture_tag_id
430,2026-01-27 18:45:46.654229,769,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20260121/54b27ca00d47f3274bbc946795407753.jpg,SOOZIP,이동식 스탠드 구글 안드로이드 스마트모니터 화이트 109cm(43인치) UHD 삼탠바이미 가능,https://soozip.co.kr/product/detail.html?product_no=769&cate_no=73&display_group=1,soozip,MINI_ELECTRONICS,349180,51,7126123,0,한영홀딩스,,1
431,2026-01-27 18:45:46.654229,638,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251127/4cf09bc67b1dd1cc873d672bac3bd046.jpg,SOOZIP,에코너 MT03 큐브 디자인 멀티탭 고용량 USB C타입 케이블형 3m,https://soozip.co.kr/product/에코너-mt03-큐브-디자인-멀티탭-고용량-usb-c타입-케이블형-3m/638/category/73/display/1/,soozip,MINI_ELECTRONICS,34800,0,348000,0,케이하이,,2
432,2026-01-27 18:45:46.654229,385,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20260116/efe500b4b0d227f69da11f738f6df971.jpg,SOOZIP,이동식 스탠드 구글 안드로이드 스마트모니터 FHD 화이트 81cm(32인치) 삼탠바이미 가능,https://soozip.co.kr/product/이동식-스탠드-구글-안드로이드-스마트모니터-fhd-화이트-81cm32인치-삼탠바이미-가능/385/category/73/display/1/,soozip,MINI_ELECTRONICS,256100,0,2561000,0,한영홀딩스,,3
433,2026-01-27 18:45:46.654229,384,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20260116/0453d88db29f50dd795c76c4f6ee1549.jpg,SOOZIP,이동식 스탠드 구글 안드로이드 스마트모니터 FHD 화이트 68.5cm(27인치) 삼탠바이미 가능,https://soozip.co.kr/product/이동식-스탠드-구글-안드로이드-스마트모니터-fhd-화이트-685cm27인치-삼탠바이미-가능/384/category/73/display/1/,soozip,MINI_ELECTRONICS,198900,4,2071875,0,한영홀딩스,,4
434,2026-01-27 18:45:46.654229,329,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250331/e89151fcf980ab1fdb3f528712ea2374.jpg,SOOZIP,홈리아 무선 진공 청소기 더스트제로 에어,https://soozip.co.kr/product/홈리아-무선-진공-청소기-더스트제로-에어/329/category/73/display/1/,soozip,MINI_ELECTRONICS,79000,11,887641,3000,홈리아,50000,5
435,2026-01-27 18:45:46.654229,328,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250331/f4e083cacc9b673e438d1efed8587d49.jpg,SOOZIP,홈리아 미니 무선 텀블러 청소기 룸스틱,https://soozip.co.kr/product/홈리아-미니-무선-텀블러-청소기-룸스틱/328/category/73/display/1/,soozip,MINI_ELECTRONICS,29900,0,299000,3000,홈리아,50000,6
436,2026-01-27 18:45:46.654229,327,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250331/d600a8a7bbce7bf6a8d6e4168f8c88d8.jpg,SOOZIP,홈리아 400W 유선 진공 핸디 스틱 청소기 룸가드,https://soozip.co.kr/product/홈리아-400w-유선-진공-핸디-스틱-청소기-룸가드/327/category/73/display/1/,soozip,MINI_ELECTRONICS,36900,0,369000,3000,홈리아,50000,7
437,2026-01-27 18:45:46.654229,326,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250331/f373478d3b9dcd5a52c1603088fd9e3a.jpg,SOOZIP,홈리아 BLDC 무선 핸디스틱 청소기 룸스틱 프로,https://soozip.co.kr/product/홈리아-bldc-무선-핸디스틱-청소기-룸스틱-프로/326/category/73/display/1/,soozip,MINI_ELECTRONICS,45600,29,642254,3000,홈리아,50000,8
438,2026-01-27 18:45:46.654229,325,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250331/536ec14ff610a0c5739e1e6f9d7e70e6.jpg,SOOZIP,홈리아 올스텐 풀오픈 에어프라이어 5L,https://soozip.co.kr/product/홈리아-올스텐-풀오픈-에어프라이어-5l/325/category/73/display/1/,soozip,MINI_ELECTRONICS,99000,0,990000,3000,홈리아,50000,9
439,2026-01-27 18:45:46.654229,323,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250331/880ede9edf91d0a8dec44d28c6bcd0b3.jpg,SOOZIP,휴빅 올스텐 대용량 전기포트 1.7L,https://soozip.co.kr/product/휴빅-올스텐-대용량-전기포트-17l/323/category/73/display/1/,soozip,MINI_ELECTRONICS,35600,29,501409,3000,홈리아,50000,10
